//Room 305 
TriCaster 5A-1 DVI Out,,,,(6),,,,,,,,,,,296,,,,,,
TriCaster 5A-1 HDMI Out,,,,(6),,,,,,,,,,,297,,,,,,
TriCaster 5A-2 SDI Out 1,,,,(7),,,,,,,,,,,227,,,,,,
TriCaster 5A-2 SDI Out 2,,,,(7),,,,,,,,,,,228,,,,,,
TriCaster 5A-2 SDI Out 3,,,,(7),,,,,,,,,,,229,,,,,,
TriCaster 5A-2 SDI Out 4,,,,(7),,,,,,,,,,,230,,,,,,
TriCaster 5A-2 DVI Out,,,,(7),,,,,,,,,,,247,,,,,,
TriCaster 5A-2 HDMI Out,,,,(7),,,,,,,,,,,248,,,,,,



//Filming Studio
SDI INPUT 1,21,,,(26),,,,,,,,,,,255,,,,,,
SDI INPUT 2,21,,,(26),,,,,,,,,,,256,,,,,,
SDI INPUT 3,21,,,(26),,,,,,,,,,,257,,,,,,
SDI INPUT 4,21,,,(26),,,,,,,,,,,258,,,,,,



//222 Forum
Stage Podium HDMI In 1,23,01,,( 31 ),,,,,,,,,,,7,,,,,,
Stage Podium HDMI In 2,23,02,,( 31 ),,,,,,,,,,,8,,,,,,
Mersive,23,03,,( 29 ),,,,,,,,,,,56,,,,,,
Zoom PC Output,23,10,,( 29 ),,,,,,,,,,,55,,,,,,
MIX CART HDMI IN 1,23,11,,( 30 ),,,,,,,,,,,1,,,,,,
MIX CART HDMI IN 2,23,12,,( 30 ),,,,,,,,,,,2,,,,,,

Cam Stage Left Back,23,21,,( 28 ),,,,,10.156.26.21,,1,,,,26,,,,,,
Cam Stage Right Back,23,22,,( 28 ),,,,,10.156.26.22,,1,,,,27,,,,,,
Cam Stage Left,23,23,,( 28 ),,,,,10.156.26.23,,1,,,,28,,,,,,
Cam Stage Right,23,24,,( 28 ),,,,,10.156.26.24,,1,,,,29,,,,,,

Throwdown A-HDMI IN 1,23,17,,( 27 ),,,,,,,,,,,4,,,,,,
Throwdown A-HDMI IN 2,23,18,,( 27 ),,,,,,,,,,,5,,,,,,


TriCaster 2A-1 SDI Out 1,23,31,,( 32 ),,,,,,,,,,,20,,,,,,
TriCaster 2A-1 SDI Out 2,23,32,,( 32 ),,,,,,,,,,,21,,,,,,
TriCaster 2A-1 SDI Out 3,23,33,,( 32 ),,,,,,,,,,,22,,,,,,
TriCaster 2A-1 SDI Out 4,23,34,,( 32 ),,,,,,,,,,,23,,,,,,
TriCaster 2A-1 DVI Out,23,35,,( 32 ),,,,,,,,,,,32,,,,,,
TriCaster 2A-1 HDMI Out,23,36,,( 32 ),,,,,,,,,,,33,,,,,,
TriCaster 2A-1 DP Out,23,37,,( 32 ),,,,,,,,,,,34,,,,,,
NC1 2A-2 Expander Monitor Output,23,38,,( 33 ),,,,,,,,,,,36,,,,,,





//Remote Classrooms
ZeeVee Decoder 1,,,,( 40 ),,,,,,,,,,,312,,,,,,
ZeeVee Decoder 2,,,,( 40 ),,,,,,,,,,,313,,,,,,
ZeeVee Decoder 3,,,,( 40 ),,,,,,,,,,,314,,,,,,
ZeeVee Decoder 4,,,,( 40 ),,,,,,,,,,,315,,,,,,
ZeeVee Decoder 5,,,,( 40 ),,,,,,,,,,,316,,,,,,
ZeeVee Decoder 6,,,,( 40 ),,,,,,,,,,,317,,,,,,
ZeeVee Decoder 7,,,,( 40 ),,,,,,,,,,,318,,,,,,
ZeeVee Decoder 8,,,,( 40 ),,,,,,,,,,,319,,,,,,
ZeeVee Decoder 9,,,,( 40 ),,,,,,,,,,,320,,,,,,
ZeeVee Decoder 10,,,,( 40 ),,,,,,,,,,,321,,,,,,





